,Title,Year,Rating,URL
0,The Shawshank Redemption,1994,9.2,https://www.imdb.com/title/tt0111161/
1,The Godfather,1972,9.1,https://www.imdb.com/title/tt0068646/
2,The Godfather: Part II,1974,9.0,https://www.imdb.com/title/tt0071562/
3,The Dark Knight,2008,9.0,https://www.imdb.com/title/tt0468569/
4,12 Angry Men,1957,8.9,https://www.imdb.com/title/tt0050083/
5,Schindler's List,1993,8.9,https://www.imdb.com/title/tt0108052/
6,The Lord of the Rings: The Return of the King,2003,8.9,https://www.imdb.com/title/tt0167260/
7,Pulp Fiction,1994,8.8,https://www.imdb.com/title/tt0110912/
8,"Il buono, il brutto, il cattivo",1966,8.8,https://www.imdb.com/title/tt0060196/
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,https://www.imdb.com/title/tt0120737/
10,Fight Club,1999,8.8,https://www.imdb.com/title/tt0137523/
11,Forrest Gump,1994,8.8,https://www.imdb.com/title/tt0109830/
12,Inception,2010,8.7,https://www.imdb.com/title/tt1375666/
13,The Lord of the Rings: The Two Towers,2002,8.7,https://www.imdb.com/title/tt0167261/
14,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,https://www.imdb.com/title/tt0080684/
15,The Matrix,1999,8.6,https://www.imdb.com/title/tt0133093/
16,Goodfellas,1990,8.6,https://www.imdb.com/title/tt0099685/
17,One Flew Over the Cuckoo's Nest,1975,8.6,https://www.imdb.com/title/tt0073486/
18,Shichinin no samurai,1954,8.6,https://www.imdb.com/title/tt0047478/
19,Se7en,1995,8.6,https://www.imdb.com/title/tt0114369/
20,La vita è bella,1997,8.6,https://www.imdb.com/title/tt0118799/
21,Cidade de Deus,2002,8.6,https://www.imdb.com/title/tt0317248/
22,The Silence of the Lambs,1991,8.6,https://www.imdb.com/title/tt0102926/
23,It's a Wonderful Life,1946,8.6,https://www.imdb.com/title/tt0038650/
24,Star Wars,1977,8.6,https://www.imdb.com/title/tt0076759/
25,Saving Private Ryan,1998,8.6,https://www.imdb.com/title/tt0120815/
26,The Green Mile,1999,8.5,https://www.imdb.com/title/tt0120689/
27,Sen to Chihiro no kamikakushi,2001,8.5,https://www.imdb.com/title/tt0245429/
28,Interstellar,2014,8.5,https://www.imdb.com/title/tt0816692/
29,Gisaengchung,2019,8.5,https://www.imdb.com/title/tt6751668/
30,Léon,1994,8.5,https://www.imdb.com/title/tt0110413/
31,Seppuku,1962,8.5,https://www.imdb.com/title/tt0056058/
32,The Usual Suspects,1995,8.5,https://www.imdb.com/title/tt0114814/
33,The Lion King,1994,8.5,https://www.imdb.com/title/tt0110357/
34,The Pianist,2002,8.5,https://www.imdb.com/title/tt0253474/
35,Back to the Future,1985,8.5,https://www.imdb.com/title/tt0088763/
36,Terminator 2: Judgment Day,1991,8.5,https://www.imdb.com/title/tt0103064/
37,American History X,1998,8.5,https://www.imdb.com/title/tt0120586/
38,Modern Times,1936,8.5,https://www.imdb.com/title/tt0027977/
39,Gladiator,2000,8.5,https://www.imdb.com/title/tt0172495/
40,Psycho,1960,8.5,https://www.imdb.com/title/tt0054215/
41,The Departed,2006,8.5,https://www.imdb.com/title/tt0407887/
42,City Lights,1931,8.5,https://www.imdb.com/title/tt0021749/
43,The Intouchables,2011,8.5,https://www.imdb.com/title/tt1675434/
44,Whiplash,2014,8.5,https://www.imdb.com/title/tt2582802/
45,Hotaru no haka,1988,8.5,https://www.imdb.com/title/tt0095327/
46,The Prestige,2006,8.5,https://www.imdb.com/title/tt0482571/
47,Once Upon a Time in the West,1968,8.4,https://www.imdb.com/title/tt0064116/
48,Casablanca,1942,8.4,https://www.imdb.com/title/tt0034583/
49,Nuovo Cinema Paradiso,1988,8.4,https://www.imdb.com/title/tt0095765/
50,Rear Window,1954,8.4,https://www.imdb.com/title/tt0047396/
51,Alien,1979,8.4,https://www.imdb.com/title/tt0078748/
52,Apocalypse Now,1979,8.4,https://www.imdb.com/title/tt0078788/
53,Memento,2000,8.4,https://www.imdb.com/title/tt0209144/
54,The Great Dictator,1940,8.4,https://www.imdb.com/title/tt0032553/
55,Raiders of the Lost Ark,1981,8.4,https://www.imdb.com/title/tt0082971/
56,Django Unchained,2012,8.4,https://www.imdb.com/title/tt1853728/
57,The Lives of Others,2006,8.4,https://www.imdb.com/title/tt0405094/
58,Hamilton,2020,8.4,https://www.imdb.com/title/tt8503618/
59,Paths of Glory,1957,8.4,https://www.imdb.com/title/tt0050825/
60,Joker,2019,8.4,https://www.imdb.com/title/tt7286456/
61,WALL·E,2008,8.4,https://www.imdb.com/title/tt0910970/
62,The Shining,1980,8.4,https://www.imdb.com/title/tt0081505/
63,Avengers: Infinity War,2018,8.4,https://www.imdb.com/title/tt4154756/
64,Sunset Blvd.,1950,8.4,https://www.imdb.com/title/tt0043014/
65,Witness for the Prosecution,1957,8.4,https://www.imdb.com/title/tt0051201/
